"rfastnum","kdagur","nuvirdi","teg_eign","svfn","byggar","haednr","lyfta","ibm2","fjhaed","fjbilast","fjbkar","fjsturt","fjklos","fjeld","fjherb","fjstof","fjgeym","stig10","matssvaedi","undirmatssvaedi","ibteg"
10197869,"2015-07-02",25913,"Ibudareign",0,1930,0,0,67.6,1,0,1,0,1,1,1,1,1,10,25,0,12
10414980,"2015-07-30",37483,"Ibudareign",0,1988,1,0,122.8,1,0,1,1,1,1,3,2,0,9.3,120,0,11
10723002,"2015-08-10",23483,"Ibudareign",0,1949,2,0,69.7,1,0,1,0,1,1,2,1,0,10,281,0,12
10358889,"2015-07-20",25974,"Ibudareign",1604,2003,3,0,75.2,1,0,0,1,1,1,2,1,0,10,840,0,12
10498320,"2015-08-04",29500,"Ibudareign",0,2013,1,1,73.8,1,1,0,1,1,1,1,1,1,10,181,0,12
10700707,"2015-08-07",41729,"Radhus",0,1994,1,0,109.1,1,0,1,1,1,1,3,1,0,10,130,0,11
10709971,"2015-07-16",33200,"Ibudareign",1604,2004,1,0,106.3,1,1,1,0,1,1,2,1,1,10,810,0,12
10723890,"2015-08-10",25073,"Ibudareign",0,1961,3,0,67.8,1,0,1,0,1,1,2,1,0,10,91,28,12
10767720,"2015-08-12",46948,"Radhus",0,1980,1,0,194.8,3,0,1,0,2,1,5,1,1,10,150,0,11
10900582,"2015-08-06",28493,"Ibudareign",1000,1994,3,0,74.8,1,0,1,0,1,1,2,1,0,10,330,0,12
10033870,"2015-08-07",55538,"Ibudareign",0,1967,1,0,143,1,0,1,0,2,1,4,2,0,10,80,0,12
10699948,"2015-08-06",23699,"Ibudareign",0,1969,2,0,72.8,1,0,1,0,1,1,2,1,2,10,170,0,12
10969555,"2015-08-07",23694,"Ibudareign",1300,2003,2,0,69.5,1,0,0,1,1,1,1,1,0,10,700,0,12
10270361,"2015-07-29",24414,"Ibudareign",0,1955,0,0,72.3,1,0,1,0,1,1,1,1,0,10,100,0,12
10469953,"2015-05-15",49802,"Ibudareign",1100,2014,2,0,126.4,1,2,1,1,1,1,2,1,2,8.1,400,45,12
10760787,"2015-08-10",39979,"Ibudareign",1300,2001,2,0,105.1,1,0,1,1,1,1,3,1,0,10,520,0,12
